/home/sww35/openresearch/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 73.12it/s]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 69.49it/s]
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Caching is incompatible with gradient checkpointing in Qwen3DecoderLayer. Setting `past_key_values=None`.
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
[search_qa:sdar:qwen3_1b7] step 42/150 loss=-9.8750 reward=0.000 gate=1.000 opsd=-98.5000 wall=3.7s
[search_qa:sdar:qwen3_1b7] step 43/150 loss=-10.1250 reward=0.000 gate=1.000 opsd=-101.0000 wall=4.5s
[search_qa:sdar:qwen3_1b7] step 44/150 loss=-10.6875 reward=0.000 gate=1.000 opsd=-107.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 45/150 loss=-10.5000 reward=0.000 gate=1.000 opsd=-105.0000 wall=3.7s
[search_qa:sdar:qwen3_1b7] step 46/150 loss=-10.5625 reward=0.000 gate=1.000 opsd=-105.5000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 47/150 loss=-11.0000 reward=0.000 gate=1.000 opsd=-110.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 48/150 loss=-10.6250 reward=0.250 gate=1.000 opsd=-106.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 49/150 loss=-11.0000 reward=0.000 gate=1.000 opsd=-110.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 50/150 loss=-11.1250 reward=0.000 gate=1.000 opsd=-111.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 51/150 loss=-11.3125 reward=0.000 gate=1.000 opsd=-113.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 52/150 loss=-11.3750 reward=0.000 gate=1.000 opsd=-114.0000 wall=4.3s
[search_qa:sdar:qwen3_1b7] step 53/150 loss=-11.2500 reward=0.000 gate=1.000 opsd=-112.5000 wall=3.7s
[search_qa:sdar:qwen3_1b7] step 54/150 loss=-11.7500 reward=0.000 gate=1.000 opsd=-117.5000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 55/150 loss=-11.8750 reward=0.000 gate=1.000 opsd=-119.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 56/150 loss=-12.1250 reward=0.000 gate=1.000 opsd=-121.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 57/150 loss=-12.0000 reward=0.000 gate=1.000 opsd=-120.0000 wall=3.7s
[search_qa:sdar:qwen3_1b7] step 58/150 loss=-11.9375 reward=0.000 gate=1.000 opsd=-119.5000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 59/150 loss=-12.2500 reward=0.000 gate=1.000 opsd=-122.5000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 60/150 loss=-12.3750 reward=0.000 gate=1.000 opsd=-124.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 61/150 loss=-11.8750 reward=0.000 gate=1.000 opsd=-118.5000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 62/150 loss=-12.0625 reward=0.000 gate=1.000 opsd=-120.5000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 63/150 loss=-11.4375 reward=0.156 gate=1.000 opsd=-115.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 64/150 loss=-12.2500 reward=0.000 gate=1.000 opsd=-122.5000 wall=4.1s
[search_qa:sdar:qwen3_1b7] step 65/150 loss=-11.9375 reward=0.000 gate=1.000 opsd=-119.5000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 66/150 loss=-12.3125 reward=0.156 gate=1.000 opsd=-124.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 67/150 loss=-12.1250 reward=0.000 gate=1.000 opsd=-121.0000 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 68/150 loss=-12.3125 reward=0.000 gate=1.000 opsd=-123.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 69/150 loss=-12.1875 reward=0.000 gate=1.000 opsd=-122.0000 wall=3.7s
[search_qa:sdar:qwen3_1b7] step 70/150 loss=-12.4375 reward=0.000 gate=1.000 opsd=-124.5000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 71/150 loss=-12.4375 reward=0.000 gate=1.000 opsd=-124.5000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 72/150 loss=-12.4375 reward=0.000 gate=1.000 opsd=-124.5000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 73/150 loss=-12.6250 reward=0.000 gate=1.000 opsd=-126.0000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 74/150 loss=-12.6250 reward=0.000 gate=1.000 opsd=-126.5000 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 75/150 loss=-12.8750 reward=0.000 gate=1.000 opsd=-129.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 76/150 loss=-12.8750 reward=0.000 gate=1.000 opsd=-129.0000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 77/150 loss=-12.5625 reward=0.000 gate=1.000 opsd=-125.5000 wall=4.4s
[search_qa:sdar:qwen3_1b7] step 78/150 loss=-12.8750 reward=0.000 gate=1.000 opsd=-129.0000 wall=4.1s
[search_qa:sdar:qwen3_1b7] step 79/150 loss=-12.6250 reward=0.000 gate=1.000 opsd=-126.0000 wall=3.8s
